step,Episode_Reward_action_rate_l2,Episode_Reward_joint_limit,Episode_Reward_motion_body_ang_vel,Episode_Reward_motion_body_lin_vel,Episode_Reward_motion_body_ori,Episode_Reward_motion_body_pos,Episode_Reward_motion_global_root_ori,Episode_Reward_motion_global_root_pos,Episode_Reward_self_collisions,Episode_Termination_anchor_ori,Episode_Termination_anchor_pos,Episode_Termination_ee_body_pos,Episode_Termination_time_out,Loss_entropy,Loss_learning_rate,Loss_surrogate,Loss_value_function,Metrics_motion_error_anchor_ang_vel,Metrics_motion_error_anchor_lin_vel,Metrics_motion_error_anchor_pos,Metrics_motion_error_anchor_rot,Metrics_motion_error_body_ang_vel,Metrics_motion_error_body_lin_vel,Metrics_motion_error_body_pos,Metrics_motion_error_body_rot,Metrics_motion_error_joint_pos,Metrics_motion_error_joint_vel,Metrics_motion_sampling_entropy,Metrics_motion_sampling_top1_bin,Metrics_motion_sampling_top1_prob,Perf_collection time,Perf_learning_time,Perf_total_fps,Policy_mean_noise_std,Train_mean_episode_length,Train_mean_episode_length_time,Train_mean_reward,Train_mean_reward_time
78,-0.028423450887203217,-0.0007941614603623748,0.0002561411529313773,0.003955350257456303,0.005644458346068859,0.013189333491027355,0.005444577895104885,0.006761332508176565,-0.0009562460472807288,0.0,0.0416666679084301,566.1666870117188,0.0,32.256595611572266,1.4999999621068127e-05,-0.006928315851837397,0.004534024745225906,3.89711332321167,0.857542872428894,0.08672921359539032,0.2501984238624573,,,0.09680074453353882,0.5313981771469116,2.0669703483581543,24.416831970214844,0.9720714092254639,0.692307710647583,0.10920782387256622,0.5861430168151855,0.054857730865478516,153360.0,0.7355824708938599,6.949999809265137,,0.041911009699106216,
79,,,,,,,,,,,,,,,,,,,,,,7.2134246826171875,1.2608245611190796,,,,,,,,,,,,,23.25,,0.35649651288986206
81,-0.028701839968562126,-0.0007896375609561801,0.0002860086678992957,0.004203711170703173,0.005832877941429615,0.013527828268706799,0.005600809119641781,0.0069217863492667675,-0.0008859338122420013,0.0,0.0416666679084301,550.0,0.0,31.96898651123047,0.00011390625149942935,-0.013365925289690495,0.0022993606980890036,3.830977201461792,0.847240686416626,0.08779513835906982,0.24804769456386566,,,0.09671606868505478,0.5269540548324585,2.056378126144409,24.100082397460938,0.9717926979064941,0.692307710647583,0.10932540893554688,0.5862166881561279,0.05240154266357422,153932.0,0.7273083329200745,7.050000190734863,,0.04527353122830391,
82,-0.02880900911986828,-0.0007819811580702662,0.00030805778806097806,0.0043164584785699844,0.005919835530221462,0.01367783173918724,0.005676135420799255,0.006989724468439817,-0.000866167014464736,0.0,0.125,546.7083740234375,0.0,31.86026382446289,5.062499985797331e-05,-0.010788858868181705,0.0028577607590705156,3.8128437995910645,0.8456845283508301,0.08882521092891693,0.24642693996429443,7.093057632446289,1.2408040761947632,0.09692595899105072,0.524272084236145,2.045403480529785,23.86862564086914,0.9716801643371582,0.692307710647583,0.1093992218375206,0.5857899188995361,0.05801796913146973,152691.0,0.7252780199050903,6.989999771118164,,0.053578104823827744,
83,,,,,,,,,,,,,,,,,,,,,,7.061382293701172,1.2328979969024658,,,,,,,,,,,,,28.059999465942383,,0.43912172317504883
84,-0.02935010939836502,-0.0007788279326632619,0.00033558785798959434,0.00454044621437788,0.006057798396795988,0.01402365230023861,0.005815514829009771,0.007167498581111431,-0.000929278030525893,0.0,0.1666666716337204,532.0,0.0,31.71639060974121,0.00011390625149942935,-0.013896332122385502,0.0020526028238236904,3.8086116313934326,0.8342537879943848,0.0893377885222435,0.24796438217163086,,,0.09773451089859009,0.5256583094596863,2.0444202423095703,23.60480499267578,0.9714959859848022,0.692307710647583,0.1094544529914856,0.5832200050354004,0.055169105529785156,153987.0,0.7210074067115784,7.550000190734863,,0.06401555240154266,
85,-0.029362007975578308,-0.0007707256590947509,0.0003506760986056179,0.00463641993701458,0.006107236258685589,0.014155040495097637,0.005894071888178587,0.0072213816456496716,-0.0009317452786490321,0.0,0.1666666716337204,526.2083740234375,0.0,31.600154876708984,3.3749998692655936e-05,-0.012331162579357624,0.0025122102815657854,3.7709193229675293,0.8438724279403687,0.09043461084365845,0.24482475221157074,6.9588141441345215,1.2241147756576538,0.09742780029773712,0.5229856967926025,2.0333080291748047,23.416404724121094,0.9714342355728149,0.692307710647583,0.10943050682544708,0.5898158550262451,0.05485177040100098,152487.0,0.7188409566879272,8.0,30.739999771118164,0.08586811274290085,0.5173222422599792
86,,,,,,,,,,,,,,,,,,,,,,6.934915065765381,1.2153548002243042,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.939998626708984,,0.5606287121772766
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.470001220703125,,0.6282369494438171
89,-0.03067593276500702,-0.0008213799446821213,0.00042448018211871386,0.005182294175028801,0.006431424058973789,0.014931398443877697,0.006213781889528036,0.007594018243253231,-0.0008096813107840717,0.0,0.0833333358168602,497.125,0.0,31.349044799804688,0.00011390625149942935,-0.012832462787628174,0.0020017330534756184,3.6979517936706543,0.8225735425949097,0.09261103719472885,0.24547383189201355,,,0.09821447730064392,0.5222333669662476,2.036961793899536,22.985576629638672,0.9710400104522705,0.692307710647583,0.10946398973464966,0.588477373123169,0.053176164627075195,153204.0,0.7119132876396179,8.25,,0.08076002448797226,
90,,,,,,,,,,,,,,,,,,,,,,6.739915370941162,1.1777589321136475,,,,,,,,,,,,,31.860000610351562,,0.5836989283561707
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.779998779296875,,0.853275716304779
94,-0.03354397788643837,-0.0008621980668976903,0.0006037329440005124,0.006254253443330526,0.007135061081498861,0.016512850299477577,0.006850097328424454,0.008337066508829594,-0.0009288749424740672,0.0,0.2916666865348816,447.5,0.0,30.939428329467773,0.00011390625149942935,-0.013944200240075588,0.0030526083428412676,3.578831434249878,0.8131715655326843,0.09944503754377365,0.24856030941009521,,,0.10052609443664551,0.5163694620132446,2.0254220962524414,22.204559326171875,0.9705504179000854,0.692307710647583,0.10959672927856445,0.5948207378387451,0.0545039176940918,151394.0,0.7021302580833435,8.739999771118164,39.04999923706055,0.09523370862007141,0.798062801361084
95,-0.034173231571912766,-0.0008883191039785743,0.0006415491225197911,0.006490570958703756,0.007241833955049515,0.01685412973165512,0.007001177407801151,0.008486405946314335,-0.000979845179244876,0.0,0.0416666679084301,436.75,0.0,30.813411712646484,7.593750342493877e-05,-0.01678643934428692,0.0024200098123401403,3.570199489593506,0.8092002868652344,0.10123711824417114,0.24816912412643433,6.491677761077881,1.1471389532089233,0.1009490042924881,0.5181601047515869,2.033334493637085,22.057104110717773,0.9704574346542358,0.692307710647583,0.10967472195625305,0.5942370891571045,0.05388450622558594,151675.0,0.6990106701850891,10.569999694824219,38.849998474121094,0.12810325622558594,0.7770724892616272
96,-0.03517327457666397,-0.0008899243548512459,0.0007069692946970463,0.006863502319902182,0.007502629421651363,0.01740899682044983,0.007204815745353699,0.008749570697546005,-0.0009793085046112537,0.0,0.3333333432674408,423.54168701171875,0.0,30.702228546142578,5.062499985797331e-05,-0.015396188013255596,0.002505288226529956,3.553276777267456,0.8102498054504395,0.10354136675596237,0.2507752776145935,6.421289443969727,1.1361387968063354,0.10152142494916916,0.5168420076370239,2.022486925125122,21.932249069213867,0.970362663269043,0.692307710647583,0.10969573259353638,0.5913774967193604,0.05312085151672363,152527.0,0.6965067982673645,10.729999542236328,,0.1358950287103653,
